"token","en-US","fr-FR","ja-JP","comment"
"vuelidate_validator_email","This field required a valid email.",,,"Fyvue Forms"
"vuelidate_validator_required","This field is required.",,,"Fyvue Forms"
"vuelidate_validator_req","This field is required.",,,"Fyvue Forms"
"vuelidate_validator_sameAs","Boths fields must be identical.",,,"Fyvue Forms"
"vuelidate_validator_minLength","Value is too short.",,,"Fyvue Forms"
"vuelidate_validator_maxLength","Value is too long.",,,"Fyvue Forms"
"global_datetime","{{val, datetime}}","{{val, datetime}}","{{val, datetime}}","Fyvue globals"
"global_timeago","{{val, relativetime}}","{{val, relativetime}}","{{val, relativetime}}","Fyvue globals"
"global_paging","Showing {{start, number}} to {{end, number}} of {{total, number}} results",,,"Fyvue globals"
"unknown_error","Unknown error",,,"Fyvue globals"
"global_loading_text","Loading...",,,"Fyvue globals"
"confirm_modal_cta_cancel","Cancel",,,"FyConfirm component"
"confirm_modal_cta_confirm","Confirm",,,"FyConfirm component"
"previous_paging","Previous page",,,"FyPaging component"
"next_paging","Next page",,,"FyPaging component"
"update_email_display_label","Email",,,"KlbUpdateEmailModal component"
"update_email_form_pwd_placeholder","Password",,,"KlbUpdateEmailModal component"
"update_email_form_pwd_label","Current password",,,"KlbUpdateEmailModal component"
"update_email_form_email_placeholder","New email",,,"KlbUpdateEmailModal component"
"update_email_form_email_label","New email",,,"KlbUpdateEmailModal component"
"update_email_cta","Confirm",,,"KlbUpdateEmailModal component"
"update_email_modal_title","Update your email",,,"KlbUpdateEmailModal component"
"update_email_display_cta","Update your email",,,"KlbUpdateEmailModal component"
"update_pwd_display_label","Update your password",,,"KlbUpdatePassword component"
"update_pwd_display_cta","Update your password",,,"KlbUpdatePassword component"
"update_pwd_modal_title","Update your password",,,"KlbUpdatePassword component"
"update_pwd_form_oldPwd_placeholder","Current password",,,"KlbUpdatePassword component"
"update_pwd_form_oldPwd_label","Current password",,,"KlbUpdatePassword component"
"update_pwd_form_newPwd_placeholder","New password",,,"KlbUpdatePassword component"
"update_pwd_form_newPwd_label","New password",,,"KlbUpdatePassword component"
"update_pwd_form_pwdConfirm_placeholder","Confirmation",,,"KlbUpdatePassword component"
"update_pwd_form_pwdConfirm_label","Confirm your new password",,,"KlbUpdatePassword component"
"update_pwd_cta","Confirmation",,,"KlbUpdatePassword component"
"delete_account_display_label","Delete my account",,,"KlbDeleteAccount component"
"delete_account_display_cta","Delete my account",,,"KlbUpdatePassword component"
"billing_history_empty","Biling history is empty",,,"KlbBillingHistory component"
"billing_history_headers_invoice_number","Invoice",,,"KlbBillingHistory component"
"billing_history_headers_created","Created",,,"KlbBillingHistory component"
"billing_history_headers_paid","Paid",,,"KlbBillingHistory component"
"billing_history_headers_status","Status",,,"KlbBillingHistory component"
"billing_history_headers_price","Amount",,,"KlbBillingHistory component"
"billing_history_headers_actions","...",,,"KlbBillingHistory component"
"billing_history_download_cta","Download PDF",,,"KlbBillingHistory component"
"add_pm_modal_title","Add payment method",,,"KlbAdddPaymentMethodModal component"
"add_pm_label_placeholder","My principal payment method...",,,"KlbAdddPaymentMethodModal component"
"add_pm_label_label","Label",,,"KlbAdddPaymentMethodModal component"
"add_pm_firstname_placeholder","Firstname",,,"KlbAdddPaymentMethodModal component"
"add_pm_firstname_label","Firstname",,,"KlbAdddPaymentMethodModal component"
"add_pm_lastname_placeholder","Lastname",,,"KlbAdddPaymentMethodModal component"
"add_pm_lastname_label","Lastname",,,"KlbAdddPaymentMethodModal component"
"add_pm_zip_placeholder","Zipcode",,,"KlbAdddPaymentMethodModal component"
"add_pm_country_label","Country",,,"KlbAdddPaymentMethodModal component"
"add_pm_zip_label","Zipcode",,,"KlbAdddPaymentMethodModal component"
"payment_method_label","Credit Card Information",,,"KlbAdddPaymentMethodModal component"
"create_billing_profile","Save payment method",,,"KlbAdddPaymentMethodModal component"
"navbar_login_cta","Login",,,"FyNavbar component"
"navbar_signup_cta","Sign up",,,"FyNavbar component"
"navbar_dashboard_cta","Dashboard",,,"FyNavbar component"
"navbar_logout_cta","Logout",,,"FyNavbar component"
"payment_cycles_one_time","Once",,,"formatKlbRecurringPaymentCycle helper"
"payment_cycles_hour_one","hour",,,"formatKlbRecurringPaymentCycle helper"
"payment_cycles_hour_other","{{count}} hours",,,"formatKlbRecurringPaymentCycle helper"
"payment_cycles_day_one","day",,,"formatKlbRecurringPaymentCycle helper"
"payment_cycles_day_other","{{count}} days",,,"formatKlbRecurringPaymentCycle helper"
"payment_cycles_month_one","month",,,"formatKlbRecurringPaymentCycle helper"
"payment_cycles_month_other","{{count}} months",,,"formatKlbRecurringPaymentCycle helper"
"payment_cycles_year_one","year",,,"formatKlbRecurringPaymentCycle helper"
"payment_cycles_year_other","{{count}} years",,,"formatKlbRecurringPaymentCycle helper"
"klb_catalog_choose_plan","Choose Plan",,,"KlbCatalog Component"
"klb_catalog_add_to_cart","Add to cart",,,"KlbCatalog Component"
"klb_order_cart_summary","Order summary",,,"KlbOrder Component"
"klb_order_cart_total","Total",,,"KlbOrder Component"
"klb_order_cart_total_taxes","Total taxes",,,"KlbOrder Component"
"klb_order_cart_total_products","Total products",,,"KlbOrder Component"
"klb_order_create_cta","Next",,,"KlbOrder Component"
"klb_order_cart_is_empty","Your cart is empty.",,,"KlbOrder Component"
"klb_order_cart_is_empty_back_cta","Back",,,"KlbOrder Component"
"klb_order_cart_vat","Taxes",,,"KlbOrder Component"
"klb_order_tv_included","includes {{val}} tax",,,"KlbOrder Component"
"klb_order_billing_location","Billing location",,,"KlbOrder Component"
"klb_order_cta_next","Next",,,"KlbOrder Component"
"klb_location_firstname_placeholder","Firstname",,,"KlbUserLocation component"
"klb_location_firstname_label","Firstname",,,"KlbUserLocation component"
